Time (ms), Ch 0 (volts)
  0.18200,       3.4196
  0.18225,       3.4220
  0.18250,       3.4196
  0.18275,       3.4268
  0.18300,       3.4244
  0.18325,       3.4268
  0.18350,       3.4196
  0.18375,       3.4244
  0.18400,       3.4268
  0.18425,       3.4220
  0.18450,       3.4244
  0.18475,       3.4244
  0.18500,       3.4196
  0.18525,       3.4244
  0.18550,       3.4220
  0.18575,       3.4244
  0.18600,       3.4196
  0.18625,       3.4196
  0.18650,       3.4317
  0.18675,       3.4220
  0.18700,       3.4196
  0.18725,       3.4172
  0.18750,       3.4148
  0.18775,       3.4196
  0.18800,       3.4220
  0.18825,       3.4244
  0.18850,       3.4220
  0.18875,       3.4244
  0.18900,       3.4196
  0.18925,       3.4244
  0.18950,       3.4220
  0.18975,       3.4244
  0.19000,       3.4244
  0.19025,       3.4268
  0.19050,       3.4244
  0.19075,       3.4293
  0.19100,       3.4220
  0.19125,       3.4341
  0.19150,       3.4244
  0.19175,       3.4293
  0.19200,       3.4293
  0.19225,       3.4293
  0.19250,       3.4293
  0.19275,       3.4293
  0.19300,       3.4268
  0.19325,       3.4268
  0.19350,       3.4293
  0.19375,       3.4268
  0.19400,       3.4317
  0.19425,       3.4268
  0.19450,       3.4293
  0.19475,       3.4268
  0.19500,       3.4244
  0.19525,       3.4293
  0.19550,       3.4268
  0.19575,       3.4268
  0.19600,       3.4268
  0.19625,       3.4293
  0.19650,       3.4196
  0.19675,       3.4244
  0.19700,       3.4244
  0.19725,       3.4293
  0.19750,       3.4244
  0.19775,       3.4293
  0.19800,       3.4244
  0.19825,       3.4317
  0.19850,       3.4268
  0.19875,       3.4293
  0.19900,       3.4317
  0.19925,       3.4244
  0.19950,       3.4244
  0.19975,       3.4293
  0.20000,       3.4220
  0.20025,       3.4293
  0.20050,       3.4293
  0.20075,       3.4148
  0.20100,       3.4244
  0.20125,       3.4268
  0.20150,       3.4220
  0.20175,       3.4196
  0.20200,       3.4220
  0.20225,       3.4220
  0.20250,       3.4220
  0.20275,       3.4220
  0.20300,       3.4196
  0.20325,       3.4268
  0.20350,       3.4220
  0.20375,       3.4268
  0.20400,       3.4172
  0.20425,       3.4244
  0.20450,       3.4220
  0.20475,       3.4244
  0.20500,       3.4196
  0.20525,       3.4220
  0.20550,       3.4220
  0.20575,       3.4268
  0.20600,       3.4268
  0.20625,       3.4220
  0.20650,       3.4051
  0.20675,       3.4268
  0.20700,       3.4196
  0.20725,       3.4196
  0.20750,       3.4196
  0.20775,       3.4293
  0.20800,       3.4220
  0.20825,       3.4244
  0.20850,       3.4268
  0.20875,       3.4268
  0.20900,       3.4220
  0.20925,       3.4244
  0.20950,       3.4196
  0.20975,       3.4293
  0.21000,       3.4220
  0.21025,       3.4244
  0.21050,       3.4196
  0.21075,       3.4196
  0.21100,       3.4220
